iucn_rgn_name,rgn_id,ohi_rgn_name
Albania,NA,Albania
Algeria,NA,Algeria
American Samoa,NA,American Samoa
Amsterdam Island and Saint Paul Island,NA,Amsterdam Island and Saint Paul Island
French Southern Territories,NA,Amsterdam Island and Saint Paul Island
Andaman and Nicobar,NA,Andaman and Nicobar
Angola,NA,Angola
Anguilla,NA,Anguilla
Antarctica,NA,Antarctica
Antigua and Barbuda,NA,Antigua and Barbuda
Argentina,NA,Argentina
Aruba,NA,Aruba
Ascension,NA,Ascension
"Saint Helena, Ascension and Tristan da Cunha",NA,Ascension
Australia,NA,Australia
Azores,NA,Azores
Bahamas,NA,Bahamas
Bahrain,NA,Bahrain
Bangladesh,NA,Bangladesh
Barbados,NA,Barbados
Bassas da India,NA,Bassas da India
Belgium,NA,Belgium
Belize,NA,Belize
Benin,NA,Benin
Bermuda,NA,Bermuda
Bonaire,NA,Bonaire
"Bonaire, Sint Eustatius and Saba",NA,Bonaire
Bosnia and Herzegovina,NA,Bosnia and Herzegovina
Bouvet Island,NA,Bouvet Island
Brazil,NA,Brazil
British Indian Ocean Territory,NA,British Indian Ocean Territory
British Virgin Islands,NA,British Virgin Islands
"Virgin Islands, British",NA,British Virgin Islands
Brunei,NA,Brunei
Brunei Darussalam,NA,Brunei
Bulgaria,NA,Bulgaria
Cambodia,NA,Cambodia
Cameroon,NA,Cameroon
Canada,2,Nunavut
Canada,3,Beaufort
Canary Islands,NA,Canary Islands
Cape Verde,NA,Cape Verde
Cayman Islands,NA,Cayman Islands
Chile,NA,Chile
China,NA,China
Hong Kong,NA,China
Macao,NA,China
Christmas Island,NA,Christmas Island
Clipperton Island,NA,Clipperton Island
Cocos (Keeling) Islands,NA,Cocos Islands
Cocos Islands,NA,Cocos Islands
Colombia,NA,Colombia
Comoro Islands,NA,Comoro Islands
Comoros,NA,Comoro Islands
Cook Islands,NA,Cook Islands
Costa Rica,NA,Costa Rica
Croatia,NA,Croatia
Crozet Islands,NA,Crozet Islands
French Southern Territories,NA,Crozet Islands
Cuba,NA,Cuba
Curaçao,NA,Curacao
Curacao,NA,Curacao
Cyprus,NA,Cyprus
"Congo, The Democratic Republic of the",NA,Democratic Republic of the Congo
Democratic Republic of the Congo,NA,Democratic Republic of the Congo
Denmark,NA,Denmark
Djibouti,NA,Djibouti
Dominica,NA,Dominica
Dominican Republic,NA,Dominican Republic
East Timor,NA,East Timor
Timor-Leste,NA,East Timor
Ecuador,NA,Ecuador
Egypt,NA,Egypt
El Salvador,NA,El Salvador
Equatorial Guinea,NA,Equatorial Guinea
Eritrea,NA,Eritrea
Estonia,NA,Estonia
Faeroe Islands,NA,Faeroe Islands
Faroe Islands,NA,Faeroe Islands
Falkland Islands,NA,Falkland Islands
Falkland Islands (Malvinas),NA,Falkland Islands
Fiji,NA,Fiji
Finland,NA,Finland
France,NA,France
French Guiana,NA,French Guiana
French Polynesia,NA,French Polynesia
Gabon,NA,Gabon
Gambia,NA,Gambia
Georgia,NA,Georgia
Germany,NA,Germany
Ghana,NA,Ghana
Gibraltar,NA,Gibraltar
Glorioso Islands,NA,Glorioso Islands
Greece,NA,Greece
Greenland,8,West Greenland
Greenland,9,East Greenland
Grenada,NA,Grenada
Guadeloupe,NA,Guadeloupe and Martinique
Guadeloupe and Martinique,NA,Guadeloupe and Martinique
Martinique,NA,Guadeloupe and Martinique
Saint Barthélemy,NA,Guadeloupe and Martinique
Saint Barthelemy,NA,Guadeloupe and Martinique
Guatemala,NA,Guatemala
Guernsey,NA,Guernsey
Guinea,NA,Guinea
Guinea Bissau,NA,Guinea Bissau
Guinea-Bissau,NA,Guinea Bissau
Guyana,NA,Guyana
Haiti,NA,Haiti
Heard and McDonald Islands,NA,Heard and McDonald Islands
Heard Island and McDonald Islands,NA,Heard and McDonald Islands
Honduras,NA,Honduras
Howland Island and Baker Island,NA,Howland Island and Baker Island
United States Minor Outlying Islands,NA,Howland Island and Baker Island
Iceland,NA,Iceland
Ile Europa,NA,Ile Europa
Ile Tromelin,NA,Ile Tromelin
India,NA,India
Indonesia,NA,Indonesia
Iran,NA,Iran
"Iran, Islamic Republic of",NA,Iran
Iraq,NA,Iraq
Ireland,NA,Ireland
Israel,NA,Israel
"Palestinian Territory, Occupied",NA,Israel
Italy,NA,Italy
Côte d'Ivoire,NA,Ivory Coast
Cote d'Ivoire,NA,Ivory Coast
Ivory Coast,NA,Ivory Coast
Jamaica,NA,Jamaica
Jan Mayen,7,Jan Mayen
Svalbard and Jan Mayen,5,Svalbard
Japan,NA,Japan
Jarvis Island,NA,Jarvis Island
United States Minor Outlying Islands,NA,Jarvis Island
Jersey,NA,Jersey
Johnston Atoll,NA,Johnston Atoll
United States Minor Outlying Islands,NA,Johnston Atoll
Jordan,NA,Jordan
Juan de Nova Island,NA,Juan de Nova Island
Kenya,NA,Kenya
French Southern Territories,NA,Kerguelen Islands
Kerguelen Islands,NA,Kerguelen Islands
Kiribati,NA,Kiribati
Kuwait,NA,Kuwait
Bhutan,NA,landlocked
Ethiopia,NA,landlocked
Lao People's Democratic Republic,NA,landlocked
Nepal,NA,landlocked
Serbia,NA,landlocked
Turkmenistan,NA,landlocked
Latvia,NA,Latvia
Lebanon,NA,Lebanon
Liberia,NA,Liberia
Libya,NA,Libya
Line Group,NA,Line Group
Lithuania,NA,Lithuania
Macquarie Island,NA,Macquarie Island
Madagascar,NA,Madagascar
Madeira,NA,Madeira
Malaysia,NA,Malaysia
Maldives,NA,Maldives
Malta,NA,Malta
Marshall Islands,NA,Marshall Islands
Mauritania,NA,Mauritania
Mauritius,NA,Mauritius
Mayotte,NA,Mayotte
Mexico,NA,Mexico
Micronesia,NA,Micronesia
"Micronesia, Federated States of",NA,Micronesia
Monaco,NA,Monaco
Montenegro,NA,Montenegro
Montserrat,NA,Montserrat
Morocco,NA,Morocco
Mozambique,NA,Mozambique
Myanmar,NA,Myanmar
Namibia,NA,Namibia
Nauru,NA,Nauru
Netherlands,NA,Netherlands
New Caledonia,NA,New Caledonia
New Zealand,NA,New Zealand
Nicaragua,NA,Nicaragua
Nigeria,NA,Nigeria
Niue,NA,Niue
Norfolk Island,NA,Norfolk Island
"Korea, Democratic People's Republic of",NA,North Korea
North Korea,NA,North Korea
Guam,NA,Northern Mariana Islands and Guam
Northern Mariana Islands,NA,Northern Mariana Islands and Guam
Northern Mariana Islands and Guam,NA,Northern Mariana Islands and Guam
Northern Saint-Martin,NA,Northern Saint-Martin
Saint Martin (French part),NA,Northern Saint-Martin
Norway,6,Norway
Oecussi Ambeno,NA,Oecussi Ambeno
Oman,NA,Oman
Pakistan,NA,Pakistan
Palau,NA,Palau
Palmyra Atoll,NA,Palmyra Atoll
United States Minor Outlying Islands,NA,Palmyra Atoll
Panama,NA,Panama
Papua New Guinea,NA,Papua New Guinea
Peru,NA,Peru
Philippines,NA,Philippines
Phoenix Group,NA,Phoenix Group
Pitcairn,NA,Pitcairn
Poland,NA,Poland
Portugal,NA,Portugal
Prince Edward Islands,NA,Prince Edward Islands
Puerto Rico,NA,Puerto Rico and Virgin Islands of the United States
Puerto Rico and Virgin Islands of the United States,NA,Puerto Rico and Virgin Islands of the United States
"Virgin Islands, U.S.",NA,Puerto Rico and Virgin Islands of the United States
Qatar,NA,Qatar
Réunion,NA,Reunion
Congo,NA,Republique du Congo
Republique du Congo,NA,Republique du Congo
Re̩union,NA,Reunion
Romania,NA,Romania
Russia,4,Russia
Russian Federation,4,Russia
"Bonaire, Sint Eustatius and Saba",NA,Saba
Saba,NA,Saba
Saint Helena,NA,Saint Helena
"Saint Helena, Ascension and Tristan da Cunha",NA,Saint Helena
Saint Kitts and Nevis,NA,Saint Kitts and Nevis
Saint Lucia,NA,Saint Lucia
Saint Pierre and Miquelon,NA,Saint Pierre and Miquelon
Saint Vincent and the Grenadines,NA,Saint Vincent and the Grenadines
Samoa,NA,Samoa
Sao Tomé and Principe,NA,Sao Tome and Principe
Sao Tome and Principe,NA,Sao Tome and Principe
Saudi Arabia,NA,Saudi Arabia
Senegal,NA,Senegal
Seychelles,NA,Seychelles
Sierra Leone,NA,Sierra Leone
Singapore,NA,Singapore
"Bonaire, Sint Eustatius and Saba",NA,Sint Eustatius
Sint Eustatius,NA,Sint Eustatius
Sint Maarten,NA,Sint Maarten
Sint Maarten (Dutch part),NA,Sint Maarten
Slovenia,NA,Slovenia
Solomon Islands,NA,Solomon Islands
Somalia,NA,Somalia
South Africa,NA,South Africa
South Georgia and the South Sandwich Islands,NA,South Georgia and the South Sandwich Islands
"Korea, Republic of",NA,South Korea
South Korea,NA,South Korea
Spain,NA,Spain
Sri Lanka,NA,Sri Lanka
Sudan,NA,Sudan
Suriname,NA,Suriname
Sweden,NA,Sweden
Syria,NA,Syria
Syrian Arab Republic,NA,Syria
Taiwan,NA,Taiwan
"Taiwan, Province of China",NA,Taiwan
Tanzania,NA,Tanzania
"Tanzania, United Republic of",NA,Tanzania
Thailand,NA,Thailand
Togo,NA,Togo
Tokelau,NA,Tokelau
Tonga,NA,Tonga
Trinidad and Tobago,NA,Trinidad and Tobago
"Saint Helena, Ascension and Tristan da Cunha",NA,Tristan da Cunha
Tristan da Cunha,NA,Tristan da Cunha
Tunisia,NA,Tunisia
Turkey,NA,Turkey
Turks and Caicos Islands,NA,Turks and Caicos Islands
Tuvalu,NA,Tuvalu
Ukraine,NA,Ukraine
United Arab Emirates,NA,United Arab Emirates
Isle of Man,NA,United Kingdom
United Kingdom,NA,United Kingdom
United States,1,Alaska
Uruguay,NA,Uruguay
Vanuatu,NA,Vanuatu
Venezuela,NA,Venezuela
"Venezuela, Bolivarian Republic of",NA,Venezuela
Viet Nam,NA,Vietnam
Vietnam,NA,Vietnam
United States Minor Outlying Islands,NA,Wake Island
Wake Island,NA,Wake Island
Wallis and Futuna,NA,Wallis and Futuna
Western Sahara,NA,Western Sahara
Yemen,NA,Yemen
Disputed Territory,NA,Disputed Territory
